구분,자동차용경유
2019년11월01일,1382.59
2019년11월02일,1382.22
2019년11월03일,1382.00
2019년11월04일,1382.03
2019년11월05일,1381.52
2019년11월06일,1381.18
2019년11월07일,1380.76
2019년11월08일,1380.75
2019년11월09일,1380.51
2019년11월10일,1380.22
2019년11월11일,1380.39
2019년11월12일,1380.34
2019년11월13일,1380.28
2019년11월14일,1380.18
2019년11월15일,1380.27
2019년11월16일,1380.14
2019년11월17일,1380.00
2019년11월18일,1380.13
2019년11월19일,1379.84
2019년11월20일,1379.68
2019년11월21일,1379.70
2019년11월22일,1379.78
2019년11월23일,1379.82
2019년11월24일,1379.75
2019년11월25일,1380.00
2019년11월26일,1380.05
2019년11월27일,1380.13
2019년11월28일,1380.26
2019년11월29일,1380.37
2019년11월30일,1380.35
2019년12월01일,1380.42
2019년12월02일,1380.65
2019년12월03일,1380.94
2019년12월04일,1381.01
2019년12월05일,1381.15
2019년12월06일,1381.42
2019년12월07일,1381.78
2019년12월08일,1381.76
2019년12월09일,1382.35
2019년12월10일,1382.64
2019년12월11일,1383.08
2019년12월12일,1383.53
2019년12월13일,1383.96
2019년12월14일,1384.33
2019년12월15일,1384.42
2019년12월16일,1385.04
2019년12월17일,1385.50
2019년12월18일,1385.93
2019년12월19일,1386.36
2019년12월20일,1386.88
2019년12월21일,1387.36
2019년12월22일,1387.49
2019년12월23일,1388.05
2019년12월24일,1388.82
2019년12월25일,1389.21
2019년12월26일,1389.74
2019년12월27일,1390.22
2019년12월28일,1390.58
2019년12월29일,1390.71
2019년12월30일,1391.19
2019년12월31일,1391.59
2020년01월01일,1392.26
2020년01월02일,1392.88
2020년01월03일,1393.16
2020년01월04일,1393.82
2020년01월05일,1394.03
2020년01월06일,1394.97
2020년01월07일,1396.28
2020년01월08일,1397.58
2020년01월09일,1398.84
2020년01월10일,1399.62
2020년01월11일,1400.13
2020년01월12일,1400.31
2020년01월13일,1400.86
2020년01월14일,1401.06
2020년01월15일,1401.02
2020년01월16일,1401.06
2020년01월17일,1400.91
2020년01월18일,1400.67
2020년01월19일,1400.52
2020년01월20일,1400.67
2020년01월21일,1400.40
2020년01월22일,1400.18
2020년01월23일,1400.05
2020년01월24일,1399.94
2020년01월25일,1399.84
2020년01월26일,1399.63
2020년01월27일,1399.13
2020년01월28일,1398.77
2020년01월29일,1398.10
2020년01월30일,1397.37
2020년01월31일,1396.42
2020년02월01일,1394.86
2020년02월02일,1394.10
2020년02월03일,1393.18
2020년02월04일,1391.26
2020년02월05일,1389.72
2020년02월06일,1387.92
2020년02월07일,1386.04
2020년02월08일,1384.50
2020년02월09일,1383.70
2020년02월10일,1382.38
2020년02월11일,1379.28
2020년02월12일,1376.42
2020년02월13일,1373.28
2020년02월14일,1370.38
2020년02월15일,1367.64
2020년02월16일,1366.27
2020년02월17일,1364.35
2020년02월18일,1361.95
2020년02월19일,1359.70
2020년02월20일,1357.74
2020년02월21일,1356.17
2020년02월22일,1354.85
2020년02월23일,1354.19
2020년02월24일,1353.38
2020년02월25일,1351.74
2020년02월26일,1350.36
2020년02월27일,1348.74
2020년02월28일,1346.79
2020년02월29일,1344.88
2020년03월01일,1342.68
2020년03월02일,1340.72
2020년03월03일,1337.92
2020년03월04일,1335.41
2020년03월05일,1333.15
2020년03월06일,1330.82
2020년03월07일,1328.48
2020년03월08일,1327.27
2020년03월09일,1324.82
2020년03월10일,1320.52
2020년03월11일,1314.23
2020년03월12일,1308.62
2020년03월13일,1303.35
2020년03월14일,1298.25
2020년03월15일,1295.73
2020년03월16일,1291.56
2020년03월17일,1284.17
2020년03월18일,1275.15
2020년03월19일,1266.95
2020년03월20일,1259.24
2020년03월21일,1253.06
2020년03월22일,1250.05
2020년03월23일,1244.70
2020년03월24일,1236.94
2020년03월25일,1230.81
2020년03월26일,1224.52
2020년03월27일,1218.12
2020년03월28일,1212.81
2020년03월29일,1209.90
2020년03월30일,1205.16
2020년03월31일,1199.27
